mep_name,assistant_type,total_assistant_changes
Lina GÁLVEZ,accredited_grouping,57
Alicia HOMS GINEL,accredited_grouping,57
Nicolás GONZÁLEZ CASARES,accredited_grouping,54
Nacho SÁNCHEZ AMOR,accredited_grouping,52
Iratxe GARCÍA PÉREZ,accredited_grouping,51
Cristina MAESTRE,accredited_grouping,50
Juan Fernando LÓPEZ AGUILAR,accredited_grouping,43
Javier MORENO SÁNCHEZ,accredited_grouping,43
César LUENA,accredited_grouping,29
Rosa SERRANO SIERRA,accredited_grouping,29
Jonás FERNÁNDEZ,accredited_grouping,29
Marcos ROS SEMPERE,accredited_grouping,29
Leire PAJÍN,accredited_grouping,29
José CEPEDA,accredited_grouping,29
Idoia MENDIA,accredited_grouping,29
Elena SANCHO MURILLO,accredited_grouping,29
Sandra GÓMEZ LÓPEZ,accredited_grouping,29
Hana JALLOUL MURO,accredited_grouping,29
Alicia HOMS GINEL,accredited,28
César LUENA,accredited,23
Kim VAN SPARRENTAK,accredited_grouping,21
Margarita DE LA PISA CARRIÓN,accredited_grouping,21
Jorge BUXADÉ VILLALBA,accredited_grouping,19
Catarina VIEIRA,accredited_grouping,11
Bas EICKHOUT,accredited_grouping,11
Tineke STRIK,accredited_grouping,11
Mireia BORRÁS PABÓN,accredited_grouping,10
Hermann TERTSCH,accredited_grouping,10
Juan Carlos GIRAUTA VIDAL,accredited_grouping,10
Jorge MARTÍN FRÍAS,accredited_grouping,10
Johan DANIELSSON,accredited_grouping,9
Thomas WAITZ,accredited,8
Rosa ESTARÀS FERRAGUT,accredited_grouping,8
Antonio LÓPEZ-ISTÚRIZ WHITE,accredited_grouping,8
Susana SOLÍS PÉREZ,accredited_grouping,8
Adrián VÁZQUEZ LÁZARA,accredited_grouping,8
Isabel BENJUMEA BENJUMEA,accredited_grouping,8
Francisco José MILLÁN MON,accredited_grouping,8
Isabella LÖVIN,accredited_grouping,7
Daniel FREUND,accredited,7
Juan Ignacio ZOIDO ÁLVAREZ,accredited_grouping,7
Alice KUHNKE,accredited_grouping,7
Alice KUHNKE,accredited,7
Pär HOLMGREN,accredited_grouping,7
Tineke STRIK,accredited,7
Gerolf ANNEMANS,accredited_grouping,7
Adam JARUBAS,accredited,6
Anja HAZEKAMP,accredited,6
Thijs REUTEN,accredited_grouping,6
Pablo ARIAS ECHEVERRÍA,accredited_grouping,6
Andrzej HALICKI,accredited,6
Riho TERRAS,accredited,6
Raphaël GLUCKSMANN,accredited,6
Mircea-Gheorghe HAVA,accredited,6
Esteban GONZÁLEZ PONS,accredited_grouping,6
Irena JOVEVA,accredited,6
Emil RADEV,accredited,6
Evin INCIR,accredited_grouping,6
Luke Ming FLANAGAN,accredited,6
Marie TOUSSAINT,accredited,6
Maria NOICHL,accredited,6
Laura BALLARÍN CEREZA,accredited_grouping,6
Karin KARLSBRO,accredited,6
Javi LÓPEZ,accredited_grouping,6
Isabel BENJUMEA BENJUMEA,accredited,6
Dennis RADTKE,accredited,6
Pascal ARIMONT,accredited,6
Evin INCIR,accredited,5
Gabriel MATO,accredited_grouping,5
Dolors MONTSERRAT,accredited_grouping,5
Pablo ARIAS ECHEVERRÍA,accredited,5
Matthias ECKE,accredited_grouping,5
Niels GEUKING,accredited,5
Anna CAVAZZINI,accredited,5
Adnan DIBRANI,accredited_grouping,5
Sofie ERIKSSON,accredited_grouping,5
Camilla LAURETI,accredited,5
Bernard GUETTA,accredited,5
Christophe CLERGEAU,accredited,5
Konstantinos ARVANITIS,accredited,5
Krzysztof HETMAN,accredited,5
Chiara GEMMA,accredited,5
Heléne FRITZON,accredited_grouping,5
Marit MAIJ,accredited_grouping,4
Martin HÄUSLING,accredited,4
Matjaž NEMEC,accredited,4
Mohammed CHAHIM,accredited_grouping,4
Moritz KÖRNER,accredited,4
Carmen CRESPO DÍAZ,accredited_grouping,4
Nikos PAPANDREOU,accredited,4
Pascal CANFIN,accredited,4
Beata SZYDŁO,accredited,4
Andrey NOVAKOV,accredited,4
André ROUGÉ,accredited,4
Özlem DEMIREL,accredited,4
Terry REINTKE,accredited,4
Tamás DEUTSCH,accredited,4
Abir AL-SAHLANI,accredited,4
Svenja HAHN,accredited,4
Aldo PATRICIELLO,accredited,4
Alessandra MORETTI,accredited,4
Urmas PAET,accredited,4
Enikő GYŐRI,accredited,4
Ville NIINISTÖ,accredited,4
Waldemar TOMASZEWSKI,accredited,4
Elena NEVADO DEL CAMPO,accredited_grouping,4
Esther HERRANZ GARCÍA,accredited_grouping,4
Virginie JORON,accredited,4
Alma EZCURRA ALMANSA,accredited_grouping,4
Adrián VÁZQUEZ LÁZARA,accredited,4
Elena KOUNTOURA,accredited,4
Eero HEINÄLUOMA,accredited,4
Diana RIBA I GINER,accredited,4
Ioan-Rareş BOGDAN,accredited,4
Costas MAVRIDES,accredited,4
Lara WOLTERS,accredited_grouping,4
Lefteris NIKOLAOU-ALAVANOS,accredited,4
Laurence FARRENG,accredited,4
Lena DÜPONT,accredited,4
Maria GRAPINI,accredited,4
Maravillas ABADÍA JOVER,accredited_grouping,4
Lídia PEREIRA,accredited,4
Marc ANGEL,accredited,4
Fulvio MARTUSCIELLO,accredited,4
Fernando NAVARRETE ROJAS,accredited_grouping,4
David CASA,accredited,4
Nicolás PASCUAL DE LA PARTE,accredited_grouping,4
Milan ZVER,accredited,4
Mounir SATOURI,accredited,4
Birgit SIPPEL,accredited,4
Borja GIMÉNEZ LARRAZ,accredited_grouping,4
Roberts ZĪLE,accredited,4
Raúl DE LA HOZ QUINTANO,accredited_grouping,4
René REPASI,accredited,4
Pär HOLMGREN,accredited,4
Ralf SEEKATZ,accredited,4
Pilar DEL CASTILLO VERA,accredited_grouping,4
Petras AUŠTREVIČIUS,accredited,4
Ondřej KNOTEK,accredited,4
Axel VOSS,accredited,4
Barbara BONTE,accredited_grouping,4
Pietro FIOCCHI,accredited,4
Nora MEBAREK,accredited,4
Pedro MARQUES,accredited,4
Antonio LÓPEZ-ISTÚRIZ WHITE,accredited,4
Tom VANDENDRIESSCHE,accredited_grouping,4
Younous OMARJEE,accredited,4
Saskia BRICMONT,accredited,4
Susana SOLÍS PÉREZ,accredited,4
Sergio BERLATO,accredited,4
Stefan BERGER,accredited,4
Sandra KALNIETE,accredited,4
Iuliu WINKLER,accredited,4
Damian BOESELAGER,accredited,4
Leila CHAIBI,accredited,4
Kathleen VAN BREMPT,accredited,4
Katarína ROTH NEVEĎALOVÁ,accredited,4
Juan Ignacio ZOIDO ÁLVAREZ,accredited,4
Javier ZARZALEJOS,accredited_grouping,4
Jana TOOM,accredited,4
Charles GOERENS,accredited,4
Catherine GRISET,accredited,4
Marina MESURE,accredited,4
Giorgos GEORGIOU,accredited,4
Matthias ECKE,accredited,3
Bernd LANGE,accredited_grouping,3
Mathilde ANDROUËT,accredited,3
Bernhard ZIMNIOK,accredited,3
Birgit SIPPEL,accredited_grouping,3
Beatrice TIMGREN,accredited_grouping,3
Benoit CASSART,accredited,3
Bogdan RZOŃCA,accredited,3
Nicolas BAY,accredited,3
CARINA OHLSSON,accredited,3
Nathalie LOISEAU,accredited,3
Sabrina REPP,accredited_grouping,3
Bart GROOTHUIS,accredited,3
Aurore LALUCQ,accredited,3
Olivier CHASTEL,accredited,3
Pál SZEKERES,accredited,3
Bartosz ARŁUKOWICZ,accredited,3
Tobias CREMER,accredited_grouping,3
Tiemo WÖLKEN,accredited_grouping,3
Yannis MANIATIS,accredited,3
Sylvie GUILLAUME,accredited,3
Sven MIKSER,accredited,3
Ádám KÓSA,accredited,3
Thierry MARIANI,accredited,3
Teófilo SANTOS,accredited,3
Sandro GOZI,accredited,3
René REPASI,accredited_grouping,3
Kris VAN DIJCK,accredited,3
Loucas FOURLAS,accredited,3
Krzysztof BREJZA,accredited_grouping,3
Maria WALSH,accredited,3
Jean-Paul GARRAUD,accredited,3
Jens GEIER,accredited_grouping,3
Klára DOBREV,accredited_grouping,3
Katarina BARLEY,accredited_grouping,3
Daniel CASPARY,accredited,3
Cristian TERHEŞ,accredited,3
Csaba MOLNÁR,accredited_grouping,3
Claudiu MANDA,accredited,3
Charlie WEIMERS,accredited_grouping,3
Markéta GREGOROVÁ,accredited,3
Maria NOICHL,accredited_grouping,3
Georg MAYER,accredited_grouping,3
Delara BURKHARDT,accredited_grouping,3
Iratxe GARCÍA PÉREZ,accredited,3
Dominik TARCZYŃSKI,accredited,3
Dick ERIXON,accredited_grouping,3
Geert BOURGEOIS,accredited,3
Gabriele BISCHOFF,accredited_grouping,3
Francisco José MILLÁN MON,accredited,3
Elisabetta GUALMINI,accredited,3
Eugen TOMAC,accredited,3
Erik MARQUARDT,accredited,3
Elżbieta Katarzyna ŁUKACIJEWSKA,accredited,3
Engin EROGLU,accredited,3
Vincenzo SOFO,accredited,3
Włodzimierz CIMOSZEWICZ,accredited,3
Veronika VRECIONOVÁ,accredited,3
Udo BULLMANN,accredited_grouping,3
Vivien COSTANZO,accredited_grouping,3
Vangelis MEIMARAKIS,accredited,3
Alexander BERNHUBER,accredited,3
Alexandr VONDRA,accredited,3
Łukasz KOHUT,accredited_grouping,2
Łukasz KOHUT,accredited,2
Adam JARUBAS,accredited_grouping,2
Yvan VEROUGSTRAETE,accredited,2
Andrius KUBILIUS,accredited,2
Andrzej BUŁA,accredited,2
Andrzej BUŁA,accredited_grouping,2
Andrzej HALICKI,accredited_grouping,2
András GYÜRK,accredited,2
André RODRIGUES,accredited,2
Anders VISTISEN,accredited,2
Andor DELI,accredited,2
Andrea BOCSKOR,accredited,2
Andreas SCHIEDER,accredited,2
Andris AMERIKS,accredited,2
Sven SIMON,accredited,2
Sylvia LIMMER,accredited,2
Sérgio GONÇALVES,accredited_grouping,2
Stéphanie YON-COURTIN,accredited,2
Sunčana GLAVAK,accredited,2
Esther HERRANZ GARCÍA,accredited,2
Estrella GALÁN,accredited,2
Ewa KOPACZ,accredited_grouping,2
Fabienne KELLER,accredited,2
Ernő SCHALLER-BAROSS,accredited,2
Elissavet VOZEMBERG-VRIONIDI,accredited,2
Elsi KATAINEN,accredited,2
Elżbieta Katarzyna ŁUKACIJEWSKA,accredited_grouping,2
Vladimír BILČÍK,accredited,2
Véronique TRILLET-LENOIR,accredited,2
Silvia SARDONE,accredited,2
Simona BONAFÈ,accredited,2
Simone SCHMIEDTBAUER,accredited,2
Sebastião BUGALHO,accredited,2
Seán KELLY,accredited,2
Sander SMIT,accredited_grouping,2
Romana TOMC,accredited,2
Giuliano PISAPIA,accredited,2
Giuseppe FERRANDINO,accredited,2
Gabriele BISCHOFF,accredited,2
Gerolf ANNEMANS,accredited,2
Gheorghe FALCĂ,accredited,2
Gianna GANCIA,accredited,2
Francisco ASSIS,accredited_grouping,2
France JAMET,accredited,2
Reinhard BÜTIKOFER,accredited,2
Reinier VAN LANSCHOT,accredited_grouping,2
Roberto GUALTIERI,accredited,2
Raffaele STANCANELLI,accredited_grouping,2
Ramona STRUGARIU,accredited,2
Rasa JUKNEVIČIENĖ,accredited,2
Rasmus ANDRESEN,accredited,2
Bartłomiej SIENKIEWICZ,accredited_grouping,2
Pilar del CASTILLO VERA,accredited_grouping,2
Radan KANEV,accredited,2
Aurélia BEIGNEUX,accredited,2
Bartosz ARŁUKOWICZ,accredited_grouping,2
Arba KOKALARI,accredited,2
Auke ZIJLSTRA,accredited_grouping,2
Pietro BARTOLO,accredited,2
Pilar DEL CASTILLO VERA,accredited,2
Annamária VICSEK,accredited,2
Pernando BARRENA ARZA,accredited_grouping,2
Ondřej KOVAŘÍK,accredited,2
Ondřej KRUTÍLEK,accredited_grouping,2
Nils UŠAKOVS,accredited,2
Niyazi KIZILYÜREK,accredited,2
Norbert LINS,accredited,2
Nuno MELO,accredited,2
Nela RIEHL,accredited_grouping,2
Niclas HERBST,accredited,2
Nicolaus FEST,accredited,2
Delara BURKHARDT,accredited,2
Denis NESCI,accredited,2
Dariusz JOŃSKI,accredited_grouping,2
David CORMAND,accredited,2
Davor Ivo STIER,accredited,2
György HÖLVÉNYI,accredited,2
Hanna GRONKIEWICZ-WALTZ,accredited_grouping,2
Hannes HEIDE,accredited,2
Giuseppe MILAZZO,accredited,2
Bruno GONÇALVES,accredited_grouping,2
Carla TAVARES,accredited_grouping,2
Carlo CICCIOLI,accredited,2
Bert-Jan RUISSEN,accredited,2
Biljana BORZAN,accredited,2
Billy KELLEHER,accredited,2
Bogdan Andrzej ZDROJEWSKI,accredited_grouping,2
Borys BUDKA,accredited_grouping,2
Brando BENIFEI,accredited,2
Murielle LAURENT,accredited,2
Nadine MORANO,accredited,2
Benoît LUTGEN,accredited,2
Miriam LEXMANN,accredited,2
Mirosława NYKIEL,accredited_grouping,2
Monika BEŇOVÁ,accredited,2
Monika HOHLMEIER,accredited,2
Michał SZCZERBA,accredited_grouping,2
Michał WAWRYKIEWICZ,accredited_grouping,2
Michael BLOSS,accredited,2
Michael GAHLER,accredited,2
Michal WIEZIK,accredited,2
Massimiliano SALINI,accredited,2
Matthieu VALET,accredited,2
Martin HOJSÍK,accredited,2
Martin SCHIRDEWAN,accredited,2
Ilhan KYUCHYUK,accredited,2
Irene TINAGLI,accredited,2
Isabel WISELER-LIMA,accredited,2
Isilda GOMES,accredited,2
Helmut GEUKING,accredited,2
Henna VIRKKUNEN,accredited,2
Herbert DORFMANN,accredited,2
Hervé JUVIN,accredited,2
Dominique RIQUET,accredited,2
Markus BUCHHEIT,accredited_grouping,2
Markus FERBER,accredited,2
Marta TEMIDO,accredited_grouping,2
Marta WCISŁO,accredited_grouping,2
